91.12	95.42	93.68	88.67	95.46
86.01	85.61	94.61	96.68	98.96
83.96	82.56	84.16	94.78	97.57
80.45	83.10	92.40	87.36	81.93
94.06	99.90	97.54	89.64	80.55
80.96	91.10	87.13	96.98	96.28
96.23	90.08	89.02	82.96	97.37
93.02	85.25	91.13	96.73	83.56
94.37	98.19	97.49	89.86	90.34
91.98	86.20	90.01	81.90	84.26
87.16	90.58	86.28	85.61	93.98
91.61	84.87	94.80	84.20	83.96
99.52	87.74	92.94	84.48	99.76
86.92	90.24	90.92	93.37	86.79
98.45	81.69	90.42	85.07	91.23
86.96	80.13	99.46	92.63	89.55
98.69	97.41	96.62	86.63	86.59
90.39	97.86	82.90	83.65	88.52
94.80	96.71	89.64	88.64	88.06
85.68	98.60	95.64	98.29	81.14
96.41	85.72	80.70	83.57	80.30
99.84	84.93	92.84	92.64	84.67
92.07	97.22	98.80	91.87	95.87
85.10	81.65	83.31	87.37	81.78
82.23	92.34	84.67	95.18	93.28
96.07	82.56	98.71	82.18	87.68
84.26	92.81	90.43	95.31	88.33
81.69	96.86	83.46	94.90	84.51
81.88	98.36	88.39	93.05	84.02
89.27	87.89	98.90	84.26	97.29
89.20	92.66	84.85	81.12	89.45
86.17	87.27	98.30	91.82	80.21
90.63	81.65	99.51	88.33	95.37
93.80	95.21	95.25	92.25	88.77
91.56	93.72	80.32	87.15	90.75
84.47	94.72	95.67	83.23	82.91
85.24	97.05	87.05	89.68	89.89
90.62	90.59	83.78	90.41	88.00
96.03	89.10	82.70	98.59	87.72
98.87	91.76	95.32	94.53	85.90
95.60	87.23	93.61	99.87	80.08
